Temp.surf,J.date,Site,Habitat,fishid,Forklength.mm,Depth.mm,mass,DNA.code,Year,round,month,stock,hatchery,oto.extracted
7.9,89,M3,Marsh,206,43,7,NA,2003,0,2,March,Harrison,,0
7.9,89,M3,Marsh,207,42,6,NA,2005,0,2,March,Harrison,,0
7.9,89,M3,Marsh,233,42,5,NA,2007,0,2,March,Harrison,,0
7.9,89,M3,Marsh,234,43,7,NA,2006,0,2,March,Harrison,,0
7.9,89,M3,Marsh,235,41,6,NA,2009,0,2,March,Harrison,,0
7.9,89,M3,Marsh,236,45,7,NA,2008,0,2,March,Harrison,,0
11.1,94,M2,Marsh,398,42,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,399,45,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,400,41,8,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,401,43,5,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,402,42,5,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,403,38,4,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,404,42,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,405,38,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,406,43,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,407,39,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,409,46,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,410,46,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,411,37,8,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,412,44,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,413,39,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,414,44,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,416,39,7,NA,2014,0,2,April,Harrison,,0
11.1,94,M2,Marsh,418,43,7,NA,2013,0,2,April,Harrison,,0
11.1,94,M2,Marsh,419,40,7,NA,2010,0,2,April,Harrison,,0
11.1,94,M2,Marsh,420,48,9,NA,2015,0,2,April,Harrison,,0
11.1,94,M2,Marsh,427,40,8,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,429,41,8,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,430,42,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,431,38,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,432,39,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,433,40,5,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,434,45,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,435,43,5,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,436,43,5,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,437,46,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,441,47,8,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,442,44,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,445,48,8,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,446,42,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,447,43,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,448,43,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,449,37,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,450,45,8,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,451,43,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,452,41,6,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,453,42,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,455,44,7,NA,NA,0,2,April,NA,,0
11.1,94,M2,Marsh,457,38,6,NA,NA,0,2,April,NA,,0
